,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
101,Jun 13 2021,"Turning Point Brands, Inc. (TPB)","4,247.44",+8.26,,45.04,45.37,44.74 - 45.53,23.58 - 61.08,"66,868","185,125",858.803M,0.57,22.14,2.04,"Jul 26, 2021 - Jul 30, 2021",0.22 (0.46%),63.80
102,Jun 13 2021,CNB Financial Corporation (CCNE),"4,247.44",+8.26,,23.76,23.92,23.82 - 24.25,13.95 - 26.85,"32,849","35,915",405.906M,1.03,11.00,2.18,"Jul 19, 2021 - Jul 23, 2021",0.68 (2.67%),28.33
103,Jun 13 2021,"Lawson Products, Inc. (LAWS)","4,247.44",+8.26,,59.55,59.27,59.25 - 60.52,28.26 - 62.10,"3,087","10,060",540.366M,1.00,89.62,0.67,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),64.00
104,Jun 13 2021,Farmers National Banc Corp. (FMNB),"4,247.44",+8.26,,16.83,16.90,16.90 - 17.10,10.05 - 18.26,"52,521","67,709",483.439M,1.01,10.15,1.68,"Jul 27, 2021 - Aug 02, 2021",0.44 (2.61%),18.25
105,Jun 13 2021,"West Bancorporation, Inc. (WTBA)","4,247.44",+8.26,,28.31,28.55,28.36 - 28.59,15.50 - 29.90,"44,381","34,200",470.984M,0.99,12.98,2.19,"Jul 21, 2021 - Jul 26, 2021",0.96 (3.60%),28.00
106,Jun 13 2021,Ryerson Holding Corporation (RYI),"4,247.44",+8.26,,15.79,15.85,15.25 - 16.12,4.99 - 19.46,"165,391","119,568",586.627M,1.57,N/A,-1.73,"May 05, 2021",N/A (N/A),15.50
107,Jun 13 2021,"Donnelley Financial Solutions, Inc. (DFIN)","4,247.44",+8.26,,31.35,31.35,31.35 - 32.09,7.44 - 33.30,"115,864","232,692",1.088B,2.15,N/A,-0.76,"Aug 03, 2021 - Aug 09, 2021",N/A (N/A),32.00
108,Jun 13 2021,Xerox Holdings Corporation (XRX),"4,247.44",+8.26,,25.09,25.27,25.12 - 25.53,14.51 - 26.96,"1,891,650","2,673,915",4.851B,1.85,23.91,1.06,"Jul 26, 2021 - Jul 30, 2021",1.00 (4.19%),19.00
109,Jun 13 2021,The Goodyear Tire & Rubber Company (GT),"4,247.44",+8.26,,18.13,18.18,18.08 - 18.80,7.28 - 20.70,"4,106,460","4,012,574",4.406B,2.26,N/A,-2.66,"Jul 29, 2021 - Aug 02, 2021",N/A (N/A),19.50
110,Jun 13 2021,The Progressive Corporation (PGR),"4,247.44",+8.26,,94.02,94.29,93.25 - 94.43,75.25 - 107.59,"2,641,236","2,661,401",54.77B,0.47,8.51,11.00,"Jun 15, 2021 - Jun 21, 2021",0.40 (0.39%),103.58
111,Jun 13 2021,The Allstate Corporation (ALL),"4,247.44",+8.26,,131.41,131.93,131.42 - 132.83,84.97 - 140.00,"1,538,250","2,048,744",39.564B,0.83,7.61,17.31,"Aug 04, 2021",3.24 (2.53%),143.83
112,Jun 13 2021,Cincinnati Financial Corporation (CINF),"4,247.44",+8.26,,121.55,121.77,121.19 - 122.00,58.62 - 124.37,"262,568","719,106",19.622B,0.65,6.46,18.85,"Jul 26, 2021 - Jul 30, 2021",2.52 (2.17%),115.20
113,Jun 13 2021,Hooker Furniture Corporation (HOFT),"4,247.44",+8.26,,40.01,40.12,40.12 - 41.00,17.52 - 42.90,"65,549","56,879",478.827M,0.94,N/A,-0.88,"Apr 14, 2021",0.72 (1.91%),51.00
114,Jun 13 2021,Coastal Financial Corporation (CCB),"4,247.44",+8.26,,30.25,30.19,29.49 - 30.32,11.58 - 33.76,"14,444","24,282",358.921M,1.28,19.81,1.51,"Jul 26, 2021 - Jul 30, 2021",N/A (N/A),34.75
115,Jun 13 2021,"Esquire Financial Holdings, Inc. (ESQ)","4,247.44",+8.26,,25.03,24.92,24.92 - 25.14,14.00 - 26.79,"7,725","19,334",195.746M,1.19,13.47,1.86,"Jul 22, 2021 - Jul 26, 2021",N/A (N/A),29.00
116,Jun 13 2021,"Riverview Bancorp, Inc. (RVSB)","4,247.44",+8.26,,6.82,6.91,6.75 - 6.97,3.77 - 7.79,"57,781","60,753",151.5M,0.85,14.43,0.47,"Jan 28, 2021",0.20 (2.86%),7.50
117,Jun 13 2021,First American Financial Corporation (FAF),"4,247.44",+8.26,,65.27,65.53,65.31 - 66.03,44.05 - 66.92,"551,644","723,531",7.244B,1.19,8.55,7.72,"Jul 22, 2021",1.84 (2.80%),74.60
118,Jun 13 2021,"PayPal Holdings, Inc. (PYPL)","4,247.44",+8.26,,269.47,268.75,268.40 - 271.87,152.22 - 309.14,"4,494,584","6,842,219",318.753B,1.15,76.68,3.54,"Jul 27, 2021 - Aug 02, 2021",N/A (N/A),313.07
